File,Peak Current (µA),Estimated Concentration (µM)
apr032025-0 Copper.pss,1065.56,10.7056
apr032025-0Bare.pss,14.9675,0.199675
apr032025-0SilverNp 0.01 EStep.pss,109.219,1.14219
apr032025-100 Copper.pss,164.438,1.69438
apr032025-100Bare 0.01 EStep.pss,22.0563,0.270563
apr032025-100Bare.pss,17.7188,0.227188
apr032025-100SilverNp 0.01 EStep.pss,114.05,1.1905000000000001
apr032025-197 Copper.pss,235.063,2.4006299999999996
apr032025-197Bare 0.01 EStep.pss,20.4438,0.254438
apr032025-197SilverNp 0.01 EStep.pss,64.925,0.69925
apr032025-58 Copper.pss,144.969,1.49969
apr032025-58Bare.pss,26.275,0.31275
apr032025-58SilverNp 0.01 EStep.pss,72.8063,0.778063
apr032025-ferricyanide.pss,2046.19,20.5119
apr032025-PBS-0Bare.pss,14.9675,0.199675
apr032025-PBS-test -1 to 1 (1).pss,14.9675,0.199675
apr032025-PBS-test -1 to 1.pss,10.275,0.15275
apr032025-PBS.pss,2.3525,0.07352500000000001
apr032025-0 Copper.pss,1065.56,106551.0
apr032025-0Bare.pss,14.9675,1491.7499999999998
apr032025-0SilverNp 0.01 EStep.pss,109.219,10916.9
apr032025-100 Copper.pss,164.438,16438.799999999996
apr032025-100Bare 0.01 EStep.pss,22.0563,2200.63
apr032025-100Bare.pss,17.7188,1766.88
apr032025-100SilverNp 0.01 EStep.pss,114.05,11400.0
apr032025-197 Copper.pss,235.063,23501.299999999996
apr032025-197Bare 0.01 EStep.pss,20.4438,2039.3799999999999
apr032025-197SilverNp 0.01 EStep.pss,64.925,6487.5
apr032025-58 Copper.pss,144.969,14491.899999999998
apr032025-58Bare.pss,26.275,2622.4999999999995
apr032025-58SilverNp 0.01 EStep.pss,72.8063,7275.629999999999
apr032025-ferricyanide.pss,2046.19,204614.0
apr032025-PBS-0Bare.pss,14.9675,1491.7499999999998
apr032025-PBS-test -1 to 1 (1).pss,14.9675,1491.7499999999998
apr032025-PBS-test -1 to 1.pss,10.275,1022.5
apr032025-PBS.pss,2.3525,230.25000000000003
